No;Kode Part;Desc Part;Gudang Part;Lokasi Part;ONHAND;BOOKING;AVS
1170;5320CK0JN00;STEM ASSY,STRG;GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1171;5320CK46N00;COVER, HANDLE RR ASSY;GUDANG UTAMA BAHAGIA MOTOR;B3.02.2.1;3;0;3
1172;5320CK46N20;COVER HANDLE RR ASSY;GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1173;5320CKWWA00;COVER HDL RR SET;GUDANG UTAMA BAHAGIA MOTOR;B3.02.1.1;3;0;3
1174;5320DK59A10ZA;COVER HDL. FR ASSY;GUDANG UTAMA BAHAGIA MOTOR;C2.06.1.1;3;0;3
1175;53216K56N40ZA;SET ILLUST HDL RR CVR.;GUDANG UTAMA BAHAGIA MOTOR;B3.02.2.1;1;0;1
1176;53250K03N30ZA;COVER COMP HDL;GUDANG UTAMA BAHAGIA MOTOR;C2.01.1.1;1;0;1
1177;5325BK25600;COVER COMP,HANDLE RR;GUDANG UTAMA BAHAGIA MOTOR;B3.03.3.1;1;0;1
1178;5325BK25610;COVER COMP,HANDLE RR;GUDANG UTAMA BAHAGIA MOTOR;B3.03.3.1;2;0;2
1179;53280K59A70ZB;COVER COMP,HANDLE RR;GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
1180;54302K16900FMB;COVER R FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;B1.03.4.1;1;0;1
1181;54302K16900PMC;COVER R FR(PL ML CR);GUDANG UTAMA BAHAGIA MOTOR;B1.03.4.1;1;0;1
1182;54303K16900CSR;COVER L FR(CN SC RD);GUDANG UTAMA BAHAGIA MOTOR;B1.03.4.1;2;0;2
1183;54303K16900FMB;COVER L FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;B1.03.4.1;1;0;1
1184;54303K16900PMC;COVER L FR(PL ML CR);GUDANG UTAMA BAHAGIA MOTOR;B1.03.4.1;0;0;0
1185;54303K16900RSW;COVER L FRONT(RO WH);GUDANG UTAMA BAHAGIA MOTOR;B1.03.5.1;1;0;1
1186;54303K16900WRD;COVER L FR (WN RD);GUDANG UTAMA BAHAGIA MOTOR;B1.03.4.1;2;0;2
1187;61100K15900ZB;FENDER FR(PL FD WH);GUDANG UTAMA BAHAGIA MOTOR;C1.06.2.1;1;0;1
1188;61100K15920ZD;FENDER FR(BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.06.2.1;0;0;0
1189;61100K16900ZR;61100K16A00ZD;GUDANG UTAMA BAHAGIA MOTOR;C1.06.2.1;2;0;2
1190;61100K16A00WRD;FENDER FR (WN RD);GUDANG UTAMA BAHAGIA MOTOR;C1.04.1.1;0;0;0
1191;61100K16A00ZA;FENDER FR (PL ML CR);GUDANG UTAMA BAHAGIA MOTOR;C1.06.1.1;4;0;4
1192;61100K16A00ZB;FENDER, FR (CN SC RD);GUDANG UTAMA BAHAGIA MOTOR;C1.06.2.1;3;0;3
1193;61100K16A00ZD;FENDER FR (BLK);GUDANG UTAMA BAHAGIA MOTOR;C1.04.1.1;1;0;1
1194;61100K18900ZA;FENDER FR(CN SC RD);GUDANG UTAMA BAHAGIA MOTOR;B1.01.1.5;1;0;1
1195;61100K1AN00MCS;FENDER,FR (MT CR SL);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;1;0;1
1196;61100K1AN00MGB;FENDER,FR (MT GN BL);GUDANG UTAMA BAHAGIA MOTOR;B4.1.1.1;0;0;0
